Taxon,Accession number,Subspecies,Year
133,ERS2470995,TPE,1669-1861
15A019HM,DRR213712,SS14,2015
17A021MM,DRR213718,NICHOLS,2017
94B,ERS2470994,SS14,1654-1861
AGU007,ERR4000645,TPE,1463-1632
AR2,SRR3268682,SS14,2013
AU17,SRR3268724,SS14,2013
BAL3,SRR3268715,NICHOLS,1973
BNK07,LT986433.1,TPE,2016
BosniaA,SRR3268694,TEN,1950
C279,CP078090,TEN,2017
C77,CP081507.1,TEN,2014
CDC_2575,CP020366.1,TPE,1980
CDC2,CP002375.1,TPE,1980
HATO,SRR4308604,TPE,2013
Chat_5847,SRS5636328,TPE,2018
Chicago,NC_017268.1,NICHOLS,1951
China30,CP073572.1,SS14,2018
NKNP1,SRR4308606,TPE,2015
CHS119,PRJEB35855,TPE,1450-1630
CP0495,ERR1470343,TPE,2013
CW59,SRR8501165,NICHOLS,2012
CW65,SRR8501164,NICHOLS,2014
CW82,SRR8501167,NICHOLS,2016
CW83,SRR8501166,NICHOLS,2015
CW85,SRR8501168,SS14,2016
CW86,SRR8501171,NICHOLS,2013
Dublin57B,CP073557.1,SS14,2002
Fribourg,CP003902.1,TPE,1966
Gambia1,SRR4308597,TPE,2014
Gauthier,CP2376.1,TPE,1960
GHA1,SRR3268694,TPE,1988-1989
GRA2,SRR3268696,SS14,1980-1999
IraqB,SRR3268700,TEN,1951
ItalyAS14,CP073553.1,NICHOLS,2017
Japan303,CP073536.1,NICHOLS,2019
Japan317xi,CP073526.1,NICHOLS,2019
Japan320e,CP073523.1/SRR14277267,TEN,2019
Japan322e,CP073522.1/SRR14277266,TEN,2019
Japan326e,CP073518.1/SRR14277458,TEN,2019
Japan346e,CP073506.1/SRR14277444,TEN,2019
K363,CP024088.1,TPE,1990
K403,CP024089.1,TPE,1990
Madras,CP078121.1,NICHOLS,1954
MD06B,CP073490.1,SS14,2002
MD18Be,CP073487.1,SS14,1998
MexicoA,NC_018722.1,SS14,1953
NE19,SRR3268709,SS14,2013
NE20,SRR3268710,NICHOLS,2013
Nichols,NC_021490.2,NICHOLS,1912
NL14,ERS1724928,NICHOLS,2016
NL16,ERS1724930,SS14,2016
OKA_2116,SRR10430858,TPE,2016
PD28,PRJEB35855,SS14,1666-1789
PeruC10010x,CP073470.1,SS14,2019
PHE130048A,ERR4045394,NICHOLS,2013
PHE140085A,ERR3684452,NICHOLS,2014
PHE160190A,ERR3684456,SS14,2016
PHE160283A,ERR3684465,NICHOLS,2016
philadelphia,CP035193.1,SS14,1988
PT_SIF1196,SRR3584843,SS14,2013
R3-SAL-007,ERR3596780,TPE,2014
R7-KUN-2001B,ERR3596747,TPE,2016
R8-KOS-007,ERR3596783,TPE,2016
SamoaD,NC_016842.1,TPE,1953
SJ219,PRJEB35855,SS14,1463-1635
SJN003,ERR4065503,TPE,1436-1626
SMUTp_09,CP051889.1,SS14,2018
SNK05,LT986434.1,TPE,2016
SS14,NC_021508.1,SS14,1977
TPA_AUSMELT-1,SRR13721290,NICHOLS,1977
TPA_BCC081,ERR4853530,NICHOLS,2013
TPA_EIR015,ERR4993349,NICHOLS,2018
TPA_EIR017,ERR4853587,SS14,2018
TPA_ESBCN005,ERR4899206,NICHOLS,2015
TPA_HUN190020,ERR5207017,NICHOLS,2019
TPA_HUN200024,ERR5207018,SS14,2019
TPA_RUS_Tuva-41,ERR5207019,SS14,2014
TPA_SA006,ERR4899215,NICHOLS,2006
TPA_ZIM018,ERR4853623,NICHOLS,2015
TPA_ZIM028,ERR4853625,SS14,2015
TPAUS_079,SRR15440297,NICHOLS,2016
TPAUS_099,SRR15440150,SS14,2016
TPAUS_272,SRR15440451,NICHOLS,2018
TPAUS_682,SRR15440240,SS14,2018
LMNP-1,CP021113.1,TPE,2005
TPP_LIB001,ERR4690809,TPE,2018
TPP_LIB003,ERR4690806,TPE,2018
TPP_LIB012,ERR4690810,TPE,2018
TPP_LIB015,ERR4690812,TPE,2018
TPP_LIB018,ERR4690811,TPE,2018
UAB211i,CP073447.1,NICHOLS,2002
UAB216i,CP073446.1,NICHOLS,2003
UAB546i,CP073399.1,NICHOLS,2007
UW116B,ERS1884567,SS14,2002
W86,NA,SS14,1621-1670
WP0022.7.scab,ERR1470331,TPE,2013
X-4,CP040555.1,SS14,2017
